time	V(n003)	V(n005)	I(I1)
2.018896928270776e-002	1.470906e+000	3.927035e+000	1.989256e-004
2.280824941663633e-002	1.478934e+000	4.090694e+000	2.069522e-004
2.542752955056488e-002	1.485736e+000	4.246500e+000	2.145675e-004
2.793520254163633e-002	1.491643e+000	4.383409e+000	2.212300e-004
3.044287553270778e-002	1.496882e+000	4.506957e+000	2.272148e-004
3.295054852377923e-002	1.501451e+000	4.617144e+000	2.325219e-004
3.545822151485068e-002	1.505352e+000	4.713969e+000	2.371513e-004
3.796589450592213e-002	1.508584e+000	4.797434e+000	2.411031e-004
4.047356749699358e-002	1.511147e+000	4.867537e+000	2.443771e-004
4.298124048806502e-002	1.513041e+000	4.924278e+000	2.469735e-004
4.379039227377932e-002	1.513543e+000	4.938959e+000	2.476297e-004
4.459954405949362e-002	1.513984e+000	4.952046e+000	2.482060e-004
4.540869584520792e-002	1.514363e+000	4.963538e+000	2.487022e-004
4.621784763092221e-002	1.514681e+000	4.973437e+000	2.491183e-004
4.702699941663651e-002	1.514938e+000	4.981742e+000	2.494545e-004
4.783615120235081e-002	1.515134e+000	4.988453e+000	2.497107e-004
4.864530298806510e-002	1.515268e+000	4.993570e+000	2.498868e-004
4.884061548806511e-002	1.515291e+000	4.994560e+000	2.499171e-004
4.924086620920042e-002	1.515328e+000	4.996161e+000	2.499644e-004
4.932707836740354e-002	1.515334e+000	4.996503e+000	2.499721e-004
4.932860424630979e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860425795133e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860428123439e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860432780051e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860433944205e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434235243e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434308003e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434453522e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434489902e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434562662e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434580851e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434617231e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434626326e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434644516e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434680896e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434753655e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434899174e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860434935554e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860435008314e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860435153833e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860435444871e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436026948e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436045138e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436081517e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436154277e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436172467e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436177015e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436178151e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436180425e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436184973e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436186110e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436188383e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436188952e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436190088e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436192362e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436192930e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193073e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193357e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193428e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193570e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193606e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193676e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436193819e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194103e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194174e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194192e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194227e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194298e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194440e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436194725e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436195293e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436196430e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436198704e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436203251e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436212346e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436214620e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436215188e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436216325e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436218599e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436219167e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220304e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220588e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220659e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220677e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220712e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220724e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220745e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220788e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436220875e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436221048e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436221393e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222084e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222257e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222300e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222387e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222560e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436222905e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436223596e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436224979e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436227745e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436233277e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436234660e-002	1.515334e+000	4.996509e+000	2.499722e-004
4.932860436235005e-002	1.515334e+000	4.996509e+000	2.499722e-004
